date,Account,daily_pnl,win_rate,average_trade_size,trades_per_day,long_ratio,short_ratio,classification,frequency_segment,consistency_segment,next_day_pnl,target,sentiment_flag
2024-06-12,0x083384f897ee0f19899168e3b1bec365f52a9012,-175611.00005600002,0.0,36736.36242424243,33,1.0,0.0,Greed,Frequent,Consistent,0.0,0,1
2024-11-11,0x083384f897ee0f19899168e3b1bec365f52a9012,0.0,0.0,5089.718248587571,177,0.0,1.0,Extreme Greed,Frequent,Consistent,9482.221441,1,0
2025-01-03,0x083384f897ee0f19899168e3b1bec365f52a9012,9482.221441,0.8,2985.797555555556,45,0.8,0.2,Greed,Frequent,Consistent,76710.0,1,1
2025-02-02,0x083384f897ee0f19899168e3b1bec365f52a9012,76710.0,0.9,185847.0,10,0.9,0.1,Greed,Frequent,Consistent,101011.685664,1,1
2025-03-02,0x083384f897ee0f19899168e3b1bec365f52a9012,101011.685664,0.30512514898688914,23593.019856972587,839,0.4171632896305125,0.5828367103694875,Fear,Frequent,Consistent,533974.662903,1,0
2025-03-03,0x083384f897ee0f19899168e3b1bec365f52a9012,533974.662903,0.8424336973478939,8371.136099843994,641,0.8424336973478939,0.15756630265210608,Fear,Frequent,Consistent,375620.270243,1,0
2025-04-02,0x083384f897ee0f19899168e3b1bec365f52a9012,375620.270243,0.15630885122410546,10576.687156308852,531,0.20903954802259886,0.7909604519774012,Fear,Frequent,Consistent,44400.9058,1,0
2025-05-02,0x083384f897ee0f19899168e3b1bec365f52a9012,44400.9058,0.37142857142857144,26585.06338095238,210,0.37142857142857144,0.6285714285714286,Greed,Frequent,Consistent,,0,1
2024-01-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,0.0,0.06,1,0.0,1.0,Greed,Frequent,Inconsistent,0.0,0,1
2024-06-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,0.0,1426.8700000000001,34,1.0,0.0,Greed,Frequent,Inconsistent,3515.031065,1,1
2024-07-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,3515.031065,0.9615384615384616,2001.101153846154,26,0.0,1.0,Fear,Frequent,Inconsistent,0.0,0,0
2024-09-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,0.0,1131.888695652174,46,1.0,0.0,Fear,Frequent,Inconsistent,2517.787385,1,0
2024-10-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2517.787385,0.984375,852.88625,64,0.0,1.0,Neutral,Frequent,Inconsistent,1162.002541,1,0
2025-01-02,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1162.002541,0.32051282051282054,2094.719358974359,78,0.6794871794871795,0.32051282051282054,Greed,Frequent,Inconsistent,1243.853569,1,1
2025-01-05,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1243.853569,0.324,815.50576,250,0.676,0.324,Greed,Frequent,Inconsistent,6352.452613,1,1
2025-02-02,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,6352.452613,0.4506769825918762,2792.42166344294,517,0.5222437137330754,0.47775628626692457,Greed,Frequent,Inconsistent,2480.902379,1,1
2025-03-03,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2480.902379,0.45454545454545453,1999.099181818182,110,0.5454545454545454,0.45454545454545453,Fear,Frequent,Inconsistent,0.0,0,0
2025-03-04,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,0.0,54768.6,1,1.0,0.0,Extreme Fear,Frequent,Inconsistent,-3169.3554679999997,0,0
2025-04-03,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,-3169.3554679999997,0.0,1756.5103076923076,65,0.8461538461538461,0.15384615384615385,Fear,Frequent,Inconsistent,,0,0
2024-05-12,0x271b280974205ca63b716753467d5a371de622ab,208.81746,0.75,39530.9875,4,0.75,0.25,Greed,Infrequent,Consistent,,0,1
2024-01-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,4458.25495,0.5025906735751295,247.12725388601035,193,0.34196891191709844,0.6580310880829016,Greed,Frequent,Consistent,1283.846047,1,1
2024-02-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,1283.846047,0.5214285714285715,140.36935714285713,140,0.5,0.5,Greed,Frequent,Consistent,1190.358719,1,1
2024-03-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,1190.358719,0.47435897435897434,92.37217948717948,78,0.358974358974359,0.6410256410256411,Extreme Greed,Frequent,Consistent,9066.169646,1,0
2024-04-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,9066.169646,0.5357142857142857,165.78285714285715,112,0.26785714285714285,0.7321428571428571,Extreme Greed,Frequent,Consistent,14685.787664,1,0
2024-05-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,14685.787664,0.4897959183673469,259.2459183673469,98,0.336734693877551,0.6632653061224489,Greed,Frequent,Consistent,389.176232,1,1
2024-06-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,389.176232,0.2318840579710145,129.80536231884057,69,0.391304347826087,0.6086956521739131,Greed,Frequent,Consistent,4008.012049,1,1
2024-07-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,4008.012049,0.4186046511627907,159.67825581395348,86,0.23255813953488372,0.7674418604651163,Fear,Frequent,Consistent,554.009942,1,0
2024-08-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,554.009942,0.4215686274509804,77.67176470588235,102,0.30392156862745096,0.696078431372549,Fear,Frequent,Consistent,768.430838,1,0
2024-09-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,768.430838,0.5915492957746479,88.1318309859155,213,0.7934272300469484,0.20657276995305165,Fear,Frequent,Consistent,980.557461,1,0
2024-10-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,980.557461,0.6751592356687898,119.62222929936306,157,0.7452229299363057,0.25477707006369427,Neutral,Frequent,Consistent,1582.001112,1,0
2024-11-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,1582.001112,0.34408602150537637,124.41204301075268,93,0.17204301075268819,0.8279569892473119,Extreme Greed,Frequent,Consistent,5806.86932,1,0
2024-12-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,5806.86932,0.5578231292517006,150.14530612244897,147,0.19047619047619047,0.8095238095238095,Extreme Greed,Frequent,Consistent,109.82694000000001,1,0
2025-01-01,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,109.82694000000001,0.3559322033898305,263.3476271186441,59,0.7457627118644068,0.2542372881355932,Greed,Frequent,Consistent,3.536668000000001,1,1
2025-01-02,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,3.536668000000001,0.4117647058823529,1057.5154901960784,51,0.5882352941176471,0.4117647058823529,Greed,Frequent,Consistent,557.9358,1,1
2025-01-03,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,557.9358,0.3783783783783784,840.2127027027027,37,0.4864864864864865,0.5135135135135135,Greed,Frequent,Consistent,768.351892,1,1
2025-01-04,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,768.351892,0.6585365853658537,422.4107317073171,41,0.34146341463414637,0.6585365853658537,Greed,Frequent,Consistent,16.923621,1,1
2025-01-05,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,16.923621,1.0,135.32,2,0.0,1.0,Greed,Frequent,Consistent,416.546688,1,1
2025-02-01,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,416.546688,0.45544554455445546,217.69336633663366,101,0.24752475247524752,0.7524752475247525,Greed,Frequent,Consistent,-1416.906536,0,1
2025-02-02,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,-1416.906536,0.054945054945054944,1328.6620879120878,91,0.8791208791208791,0.12087912087912088,Greed,Frequent,Consistent,8330.21747,1,1
2025-02-03,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,8330.21747,0.7671232876712328,1432.3072602739728,73,0.2465753424657534,0.7534246575342466,Fear,Frequent,Consistent,669.381363,1,0
2025-02-04,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,669.381363,0.6,414.13428571428574,70,0.38571428571428573,0.6142857142857143,Greed,Frequent,Consistent,250.581483,1,1
2025-03-01,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,250.581483,0.5217391304347826,217.15115942028987,69,0.4927536231884058,0.5072463768115942,Extreme Fear,Frequent,Consistent,439.634046,1,0
2025-03-02,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,439.634046,0.6,1251.5914666666667,75,0.36,0.64,Fear,Frequent,Consistent,494.669357,1,0
2025-03-03,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,494.669357,0.3620689655172414,536.928448275862,58,0.8275862068965517,0.1724137931034483,Fear,Frequent,Consistent,149.51234499999998,1,0
2025-03-04,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,149.51234499999998,0.11764705882352941,453.3190588235294,85,0.7529411764705882,0.24705882352941178,Extreme Fear,Frequent,Consistent,232.66549799999999,1,0
2025-04-01,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,232.66549799999999,0.49382716049382713,156.68296296296296,81,0.3950617283950617,0.6049382716049383,Fear,Frequent,Consistent,1291.500575,1,0
2025-04-02,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,1291.500575,0.3541666666666667,1139.6597916666667,48,0.6458333333333334,0.3541666666666667,Fear,Frequent,Consistent,163.73415,1,0
2025-04-03,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,163.73415,0.3023255813953488,1091.9493023255814,43,0.9767441860465116,0.023255813953488372,Fear,Frequent,Consistent,498.73528200000004,1,0
2025-04-04,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,498.73528200000004,0.56,280.5443,100,0.33,0.67,Fear,Frequent,Consistent,87.752181,1,0
2025-05-01,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,87.752181,0.5365853658536586,101.1840243902439,82,0.47560975609756095,0.524390243902439,Neutral,Frequent,Consistent,696.8107239999999,1,0
2025-05-02,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,696.8107239999999,0.4457831325301205,912.4063855421687,83,0.5421686746987951,0.4578313253012048,Greed,Frequent,Consistent,,0,1
2024-01-11,0x2c229d22b100a7beb69122eed721cee9b24011dd,-0.09906000000000104,0.2857142857142857,2139.280714285714,14,0.42857142857142855,0.5714285714285714,Extreme Greed,Infrequent,Consistent,16196.864846,1,0
2024-02-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,16196.864846,0.5660377358490566,2348.7403773584906,53,0.4339622641509434,0.5660377358490566,Greed,Infrequent,Consistent,121.535562,1,1
2024-03-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,121.535562,0.23728813559322035,1685.5867796610169,59,0.559322033898305,0.4406779661016949,Extreme Greed,Infrequent,Consistent,7591.307059,1,0
2024-04-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,7591.307059,0.6756756756756757,3426.9959459459456,37,0.32432432432432434,0.6756756756756757,Extreme Greed,Infrequent,Consistent,2069.92634,1,0
2024-05-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,2069.92634,0.9090909090909091,890.1048484848485,33,0.09090909090909091,0.9090909090909091,Greed,Infrequent,Consistent,-3.41119,0,1
2024-06-11,0x2c229d22b100a7beb69122eed721cee9b24011dd,-3.41119,0.0,666.84,3,0.3333333333333333,0.6666666666666666,Greed,Infrequent,Consistent,-123.870122,0,1
2024-06-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,-123.870122,0.0,2324.0444444444447,9,0.5555555555555556,0.4444444444444444,Greed,Infrequent,Consistent,-710.786946,0,1
2024-08-11,0x2c229d22b100a7beb69122eed721cee9b24011dd,-710.786946,0.0,2003.9206666666666,15,0.3333333333333333,0.6666666666666666,Fear,Infrequent,Consistent,130.883691,1,0
2024-10-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,130.883691,0.5833333333333334,1585.4033333333334,12,0.4166666666666667,0.5833333333333334,Neutral,Infrequent,Consistent,8544.6855,1,0
2024-11-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,8544.6855,0.5263157894736842,6550.684736842106,19,0.47368421052631576,0.5263157894736842,Extreme Greed,Infrequent,Consistent,7639.595794,1,0
2024-12-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,7639.595794,0.6290322580645161,5565.801451612903,62,0.3709677419354839,0.6290322580645161,Extreme Greed,Infrequent,Consistent,88.50699399999999,1,0
2025-01-02,0x2c229d22b100a7beb69122eed721cee9b24011dd,88.50699399999999,0.5714285714285714,5610.000952380952,21,0.23809523809523808,0.7619047619047619,Greed,Infrequent,Consistent,1334.414834,1,1
2025-01-04,0x2c229d22b100a7beb69122eed721cee9b24011dd,1334.414834,0.4444444444444444,1193.0444444444445,9,0.5555555555555556,0.4444444444444444,Greed,Infrequent,Consistent,1.1031579999999999,1,1
2025-02-04,0x2c229d22b100a7beb69122eed721cee9b24011dd,1.1031579999999999,0.3333333333333333,395.24,6,0.5,0.5,Greed,Infrequent,Consistent,160.127816,1,1
2025-03-04,0x2c229d22b100a7beb69122eed721cee9b24011dd,160.127816,0.7307692307692307,739.3319230769231,26,0.2692307692307692,0.7307692307692307,Extreme Fear,Infrequent,Consistent,,0,0
2023-01-05,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,0.0,159.0,3,1.0,0.0,Fear,Infrequent,Inconsistent,0.0,0,0
2024-01-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,0.0,0.74,1,0.0,1.0,Greed,Infrequent,Inconsistent,13.566929,1,1
2024-01-12,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,13.566929,0.6666666666666666,11.366666666666667,3,0.3333333333333333,0.6666666666666666,Greed,Infrequent,Inconsistent,0.0,0,1
2024-02-12,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,0.0,0.0,1,0.0,1.0,Greed,Infrequent,Inconsistent,0.0,0,1
2024-03-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,0.0,0.65,1,0.0,1.0,Extreme Greed,Infrequent,Inconsistent,0.0,0,0
2024-04-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,0.0,0.01,1,0.0,1.0,Extreme Greed,Infrequent,Inconsistent,0.0,0,0
2024-05-09,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,0.0,0.84,1,0.0,1.0,Greed,Infrequent,Inconsistent,215.754798,1,1
2024-06-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,215.754798,0.2962962962962963,28.555555555555557,27,0.037037037037037035,0.9629629629629629,Greed,Infrequent,Inconsistent,0.0,0,1
2024-07-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,0.0,0.0036363636363636364,11,0.0,1.0,Fear,Infrequent,Inconsistent,0.0,0,0
2024-11-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,0.0,23066.935,2,1.0,0.0,Extreme Greed,Infrequent,Inconsistent,,0,0
2024-01-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,0.0,0.0,199.81,1,0.0,1.0,Greed,Infrequent,Inconsistent,0.0,0,1
2024-03-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,0.0,0.0,209.94,1,0.0,1.0,Extreme Greed,Infrequent,Inconsistent,0.0,0,0
2024-05-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,0.0,0.0,10238.081666666667,6,1.0,0.0,Greed,Infrequent,Inconsistent,0.0,0,1
2024-06-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,0.0,0.0,1657.5529999999999,20,0.25,0.75,Greed,Infrequent,Inconsistent,483.662076,1,1
2024-09-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,483.662076,1.0,603.1,8,1.0,0.0,Fear,Infrequent,Inconsistent,0.0,0,0
2024-10-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,0.0,0.0,22522.036666666667,3,1.0,0.0,Neutral,Infrequent,Inconsistent,3721.345649,1,0
2024-11-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,3721.345649,1.0,40012.55,4,0.0,1.0,Extreme Greed,Infrequent,Inconsistent,0.0,0,0
2024-12-11,0x39cef799f8b69da1995852eea189df24eb5cae3c,0.0,0.0,5195.3,2,1.0,0.0,Greed,Infrequent,Inconsistent,-9655.676981,0,1
2025-01-01,0x39cef799f8b69da1995852eea189df24eb5cae3c,-9655.676981,0.4166666666666667,15270.597499999998,12,0.5,0.5,Greed,Infrequent,Inconsistent,0.0,0,1
2025-03-01,0x39cef799f8b69da1995852eea189df24eb5cae3c,0.0,0.0,6217.48,1,1.0,0.0,Extreme Fear,Infrequent,Inconsistent,0.0,0,0
2025-03-04,0x39cef799f8b69da1995852eea189df24eb5cae3c,0.0,0.0,4742.898943661972,142,0.0,1.0,Extreme Fear,Infrequent,Inconsistent,863.956464,1,0
2025-04-03,0x39cef799f8b69da1995852eea189df24eb5cae3c,863.956464,0.47619047619047616,3213.5458730158734,63,0.5238095238095238,0.47619047619047616,Fear,Infrequent,Inconsistent,266.39774,1,0
2025-04-04,0x39cef799f8b69da1995852eea189df24eb5cae3c,266.39774,1.0,19800.740588235294,34,1.0,0.0,Fear,Infrequent,Inconsistent,,0,0
2024-02-12,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,0.0,0.0,46692.72,1,1.0,0.0,Greed,Infrequent,Consistent,100.375782,1,1
2024-03-10,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,100.375782,0.6,2585.338,5,0.4,0.6,Extreme Greed,Infrequent,Consistent,0.0,0,0
2024-03-11,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,0.0,0.0,9530.66,2,1.0,0.0,Extreme Greed,Infrequent,Consistent,540.05911,1,0
2024-04-11,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,540.05911,1.0,1960.1330000000003,10,0.0,1.0,Extreme Greed,Infrequent,Consistent,503.46257599999996,1,0
2024-07-11,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,503.46257599999996,0.6875,1929.28125,16,0.3125,0.6875,Fear,Infrequent,Consistent,0.0,0,0
2024-10-11,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,0.0,0.0,9836.88,1,1.0,0.0,Fear,Infrequent,Consistent,393.07947,1,0
2024-11-11,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,393.07947,1.0,2557.49,4,0.0,1.0,Extreme Greed,Infrequent,Consistent,0.0,0,0
2024-12-11,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,0.0,0.0,1319.1399999999999,4,1.0,0.0,Greed,Infrequent,Consistent,0.0,0,1
2025-04-04,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,0.0,0.0,63727.4,1,1.0,0.0,Fear,Infrequent,Consistent,,0,0
2024-06-12,0x420ab45e0bd8863569a5efbb9c05d91f40624641,0.0,0.0,10673.925777777777,45,0.0,1.0,Greed,Infrequent,Consistent,1762.46,1,1
2024-12-12,0x420ab45e0bd8863569a5efbb9c05d91f40624641,1762.46,1.0,6750.81,10,1.0,0.0,Extreme Greed,Infrequent,Consistent,,0,0
2024-05-10,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,0.0,0.61,1,0.0,1.0,Greed,Infrequent,Inconsistent,0.0,0,1
2024-09-08,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,0.0,0.12,1,0.0,1.0,Fear,Infrequent,Inconsistent,0.0,0,0
2024-10-08,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,0.0,0.68,1,0.0,1.0,Neutral,Infrequent,Inconsistent,0.0,0,0
2024-11-09,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,0.0,0.54,1,0.0,1.0,Extreme Greed,Infrequent,Inconsistent,0.0,0,0
2024-11-10,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,0.0,0.73,1,0.0,1.0,Extreme Greed,Infrequent,Inconsistent,0.0,0,0
2024-12-08,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,0.0,0.61,1,0.0,1.0,Extreme Greed,Infrequent,Inconsistent,,0,0
2024-01-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,197.422418,0.5,358.71500000000003,4,0.5,0.5,Greed,Frequent,Inconsistent,30.727222,1,1
2024-03-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,30.727222,0.023809523809523808,330.0188095238095,42,0.6190476190476191,0.38095238095238093,Extreme Greed,Frequent,Inconsistent,910.584797,1,0
2024-04-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,910.584797,0.13725490196078433,795.8152941176471,102,0.38235294117647056,0.6176470588235294,Extreme Greed,Frequent,Inconsistent,3174.023699,1,0
2024-05-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,3174.023699,0.36551724137931035,587.6594137931035,290,0.5,0.5,Greed,Frequent,Inconsistent,514.886454,1,1
2024-06-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,514.886454,0.2962962962962963,1009.2267592592593,108,0.5648148148148148,0.4351851851851852,Greed,Frequent,Inconsistent,1040.616939,1,1
2024-07-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,1040.616939,0.35,580.1653888888889,180,0.46111111111111114,0.5388888888888889,Fear,Frequent,Inconsistent,227.072158,1,0
2024-08-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,227.072158,0.36231884057971014,423.3769565217391,69,0.4782608695652174,0.5217391304347826,Fear,Frequent,Inconsistent,311.290605,1,0
2024-09-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,311.290605,0.34545454545454546,399.53854545454544,55,0.5818181818181818,0.41818181818181815,Fear,Frequent,Inconsistent,1474.670598,1,0
2024-10-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,1474.670598,0.36813186813186816,512.06510989011,182,0.5989010989010989,0.4010989010989011,Neutral,Frequent,Inconsistent,1157.689489,1,0
2024-11-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,1157.689489,0.3353846153846154,307.6034769230769,325,0.36,0.64,Extreme Greed,Frequent,Inconsistent,574.398074,1,0
2024-12-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,574.398074,0.2893081761006289,458.38842767295597,159,0.4716981132075472,0.5283018867924528,Extreme Greed,Frequent,Inconsistent,17.784696,1,0
2025-01-01,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,17.784696,0.1875,632.90125,16,0.5625,0.4375,Greed,Frequent,Inconsistent,526.448209,1,1
2025-01-02,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,526.448209,0.696969696969697,490.5812121212121,33,0.696969696969697,0.30303030303030304,Greed,Frequent,Inconsistent,109.593094,1,1
2025-01-03,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,109.593094,0.4444444444444444,617.1918518518519,27,0.18518518518518517,0.8148148148148148,Greed,Frequent,Inconsistent,-680.287463,0,1
2025-01-04,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,-680.287463,0.3157894736842105,247.43947368421055,19,0.3157894736842105,0.6842105263157895,Greed,Frequent,Inconsistent,37.385304,1,1
2025-01-05,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,37.385304,0.14285714285714285,299.0128571428572,7,0.0,1.0,Greed,Frequent,Inconsistent,677.276764,1,1
2025-02-01,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,677.276764,0.4777777777777778,548.5241111111111,90,0.3333333333333333,0.6666666666666666,Greed,Frequent,Inconsistent,-782.6517170000001,0,1
2025-02-02,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,-782.6517170000001,0.25,475.55675925925925,108,0.7685185185185185,0.23148148148148148,Greed,Frequent,Inconsistent,349.12092600000005,1,1
2025-02-03,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,349.12092600000005,0.38095238095238093,1106.6938095238095,21,0.14285714285714285,0.8571428571428571,Fear,Frequent,Inconsistent,93.006465,1,0
2025-02-04,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,93.006465,0.75,405.9275,4,0.75,0.25,Greed,Frequent,Inconsistent,846.655814,1,1
2025-03-01,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,846.655814,0.23529411764705882,321.5754901960784,102,0.5,0.5,Extreme Fear,Frequent,Inconsistent,2440.916534,1,0
2025-03-02,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2440.916534,0.4010989010989011,633.5157142857142,182,0.5934065934065934,0.4065934065934066,Fear,Frequent,Inconsistent,376.017126,1,0
2025-03-03,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,376.017126,0.36363636363636365,591.2160606060606,33,0.21212121212121213,0.7878787878787878,Fear,Frequent,Inconsistent,7.052034,1,0
